temporada_alta,dif_min,atraso_15,periodo_dia
Si,15.0,0,tarde
Si,30.0,1,tarde
Si,22.0,1,tarde
Si,37.0,1,tarde
Si,12.0,0,tarde
Si,0.0,0,tarde
Si,6.0,0,tarde
Si,21.0,1,tarde
Si,0.0,0,tarde
Si,17.0,1,tarde
Si,8.0,0,mañana
Si,6.0,0,mañana
Si,5.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,12.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,3.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,3.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,1.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,32.0,1,mañana
Si,37.0,1,tarde
Si,10.0,0,tarde
Si,0.0,0,tarde
Si,6.0,0,tarde
Si,13.0,0,tarde
Si,9.0,0,tarde
Si,2.0,0,tarde
Si,32.0,1,tarde
Si,10.0,0,tarde
Si,26.0,1,tarde
Si,13.0,0,tarde
Si,11.0,0,tarde
Si,6.0,0,tarde
Si,14.0,0,tarde
Si,17.0,1,tarde
Si,10.0,0,tarde
Si,0.0,0,tarde
Si,10.0,0,tarde
Si,9.0,0,tarde
Si,0.0,0,tarde
Si,3.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,1.0,0,tarde
Si,46.0,1,tarde
Si,3.0,0,tarde
Si,51.0,1,tarde
Si,0.0,0,tarde
Si,94.0,1,tarde
Si,68.0,1,tarde
Si,23.0,1,tarde
Si,4.0,0,tarde
Si,0.0,0,tarde
Si,4.0,0,tarde
Si,0.0,0,tarde
Si,12.0,0,tarde
Si,5.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,3.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,2.0,0,mañana
Si,1.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,1.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,8.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,4.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,1.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,7.0,0,mañana
Si,8.0,0,mañana
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,8.0,0,tarde
Si,24.0,1,tarde
Si,1.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,6.0,0,tarde
Si,0.0,0,tarde
Si,14.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,19.0,1,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,3.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,10.0,0,tarde
Si,0.0,0,tarde
Si,3.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,4.0,0,noche
Si,0.0,0,noche
Si,32.0,1,noche
Si,0.0,0,noche
Si,3.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,2.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,8.0,0,mañana
Si,0.0,0,mañana
Si,4.0,0,mañana
Si,15.0,0,mañana
Si,0.0,0,mañana
Si,6.0,0,mañana
Si,57.0,1,mañana
Si,8.0,0,mañana
Si,26.0,1,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,4.0,0,mañana
Si,0.0,0,mañana
Si,9.0,0,mañana
Si,2.0,0,mañana
Si,2.0,0,mañana
Si,4.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,6.0,0,mañana
Si,1.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,7.0,0,mañana
Si,0.0,0,noche
Si,3.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,4.0,0,noche
Si,4.0,0,noche
Si,1.0,0,noche
Si,0.0,0,noche
Si,16.0,1,noche
Si,4.0,0,noche
Si,4.0,0,noche
Si,0.0,0,noche
Si,16.0,1,noche
Si,4.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,9.0,0,noche
Si,6.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,8.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,1.0,0,noche
Si,0.0,0,noche
Si,6.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,7.0,0,noche
Si,58.0,1,noche
Si,24.0,1,noche
Si,6.0,0,noche
Si,13.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,2.0,0,noche
Si,0.0,0,noche
Si,2.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,1.0,0,noche
Si,0.0,0,noche
Si,8.0,0,noche
Si,5.0,0,noche
Si,15.0,0,mañana
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,40.0,1,mañana
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,16.0,1,noche
Si,3.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,1.0,0,noche
Si,0.0,0,noche
Si,18.0,1,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,2.0,0,noche
Si,50.0,1,noche
Si,0.0,0,noche
Si,14.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,1.0,0,noche
Si,72.0,1,noche
Si,20.0,1,noche
Si,5.0,0,noche
Si,13.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,3.0,0,mañana
Si,0.0,0,mañana
Si,18.0,1,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,30.0,1,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,4.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,0.0,0,mañana
Si,6.0,0,tarde
Si,40.0,1,tarde
Si,29.0,1,tarde
Si,15.0,0,tarde
Si,51.0,1,tarde
Si,34.0,1,tarde
Si,28.0,1,tarde
Si,32.0,1,tarde
Si,41.0,1,tarde
Si,138.0,1,tarde
Si,38.0,1,tarde
Si,27.0,1,tarde
Si,33.0,1,tarde
Si,57.0,1,tarde
Si,7.0,0,tarde
Si,10.0,0,tarde
Si,37.0,1,tarde
Si,38.0,1,tarde
Si,34.0,1,tarde
Si,25.0,1,tarde
Si,15.0,0,tarde
Si,8.0,0,tarde
Si,4.0,0,tarde
Si,0.0,0,tarde
Si,42.0,1,tarde
Si,7.0,0,tarde
Si,13.0,0,tarde
Si,8.0,0,tarde
Si,0.0,0,tarde
Si,47.0,1,tarde
Si,33.0,1,tarde
Si,0.0,0,noche
Si,13.0,0,noche
Si,47.0,1,noche
Si,17.0,1,noche
Si,0.0,0,noche
Si,54.0,1,noche
Si,2.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,9.0,0,noche
Si,14.0,0,noche
Si,6.0,0,noche
Si,1.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,1.0,0,noche
Si,0.0,0,noche
Si,0.0,0,tarde
Si,9.0,0,tarde
Si,0.0,0,tarde
Si,4.0,0,tarde
Si,15.0,0,tarde
Si,1.0,0,tarde
Si,2.0,0,tarde
Si,7.0,0,tarde
Si,0.0,0,tarde
Si,15.0,0,tarde
Si,0.0,0,tarde
Si,2.0,0,tarde
Si,4.0,0,tarde
Si,3.0,0,tarde
Si,19.0,1,tarde
Si,39.0,1,tarde
Si,3.0,0,tarde
Si,12.0,0,tarde
Si,17.0,1,tarde
Si,65.0,1,tarde
Si,4.0,0,tarde
Si,6.0,0,tarde
Si,9.0,0,tarde
Si,6.0,0,tarde
Si,27.0,1,tarde
Si,2.0,0,tarde
Si,3.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,4.0,0,tarde
Si,15.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,1.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,23.0,1,tarde
Si,0.0,0,tarde
Si,2.0,0,tarde
Si,15.0,0,tarde
Si,2.0,0,tarde
Si,29.0,1,tarde
Si,3.0,0,tarde
Si,0.0,0,tarde
Si,1.0,0,tarde
Si,11.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,3.0,0,tarde
Si,23.0,1,tarde
Si,25.0,1,tarde
Si,21.0,1,tarde
Si,0.0,0,mañana
Si,5.0,0,mañana
Si,0.0,0,mañana
Si,24.0,1,mañana
Si,8.0,0,mañana
Si,1.0,0,mañana
Si,15.0,0,mañana
Si,6.0,0,mañana
Si,12.0,0,mañana
Si,11.0,0,mañana
Si,6.0,0,mañana
Si,1.0,0,mañana
Si,11.0,0,mañana
Si,13.0,0,mañana
Si,23.0,1,mañana
Si,5.0,0,mañana
Si,15.0,0,mañana
Si,14.0,0,mañana
Si,11.0,0,mañana
Si,0.0,0,mañana
Si,10.0,0,mañana
Si,12.0,0,mañana
Si,6.0,0,mañana
Si,14.0,0,mañana
Si,64.0,1,mañana
Si,2.0,0,mañana
Si,9.0,0,mañana
Si,10.0,0,mañana
Si,29.0,1,mañana
Si,8.0,0,mañana
Si,10.0,0,mañana
Si,81.0,1,tarde
Si,37.0,1,tarde
Si,88.0,1,tarde
Si,96.0,1,tarde
Si,32.0,1,tarde
Si,56.0,1,tarde
Si,39.0,1,tarde
Si,32.0,1,tarde
Si,34.0,1,tarde
Si,41.0,1,tarde
Si,9.0,0,tarde
Si,126.0,1,tarde
Si,22.0,1,tarde
Si,18.0,1,tarde
Si,26.0,1,tarde
Si,16.0,1,tarde
Si,37.0,1,tarde
Si,61.0,1,tarde
Si,69.0,1,tarde
Si,31.0,1,tarde
Si,4.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,7.0,0,noche
Si,3.0,0,noche
Si,13.0,0,noche
Si,0.0,0,noche
Si,3.0,0,noche
Si,0.0,0,noche
Si,4.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,11.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,8.0,0,noche
Si,0.0,0,noche
Si,3.0,0,noche
Si,2.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,15.0,0,tarde
Si,5.0,0,tarde
Si,9.0,0,tarde
Si,8.0,0,tarde
Si,33.0,1,tarde
Si,16.0,1,tarde
Si,25.0,1,tarde
Si,7.0,0,tarde
Si,7.0,0,tarde
Si,6.0,0,tarde
Si,6.0,0,tarde
Si,50.0,1,mañana
Si,7.0,0,tarde
Si,5.0,0,tarde
Si,7.0,0,tarde
Si,8.0,0,tarde
Si,0.0,0,tarde
Si,1.0,0,tarde
Si,15.0,0,tarde
Si,7.0,0,tarde
Si,68.0,1,tarde
Si,14.0,0,tarde
Si,4.0,0,tarde
Si,14.0,0,tarde
Si,11.0,0,tarde
Si,15.0,0,tarde
Si,2.0,0,tarde
Si,10.0,0,tarde
Si,4.0,0,tarde
Si,0.0,0,tarde
Si,17.0,1,tarde
Si,2.0,0,tarde
Si,0.0,0,tarde
Si,7.0,0,tarde
Si,0.0,0,tarde
Si,13.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,8.0,0,tarde
Si,8.0,0,tarde
Si,10.0,0,noche
Si,0.0,0,noche
Si,11.0,0,noche
Si,0.0,0,noche
Si,9.0,0,noche
Si,1.0,0,noche
Si,0.0,0,noche
Si,7.0,0,noche
Si,12.0,0,noche
Si,14.0,0,noche
Si,9.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,3.0,0,noche
Si,1.0,0,noche
Si,2.0,0,noche
Si,6.0,0,tarde
Si,13.0,0,tarde
Si,15.0,0,tarde
Si,0.0,0,tarde
Si,88.0,1,tarde
Si,0.0,0,tarde
Si,13.0,0,tarde
Si,13.0,0,tarde
Si,5.0,0,tarde
Si,7.0,0,tarde
Si,2.0,0,tarde
Si,14.0,0,tarde
Si,7.0,0,tarde
Si,12.0,0,tarde
Si,1.0,0,tarde
Si,57.0,1,tarde
Si,26.0,1,tarde
Si,34.0,1,tarde
Si,7.0,0,tarde
Si,4.0,0,tarde
Si,3.0,0,tarde
Si,10.0,0,tarde
Si,10.0,0,tarde
Si,0.0,0,tarde
Si,22.0,1,tarde
Si,5.0,0,tarde
Si,7.0,0,tarde
Si,5.0,0,tarde
Si,10.0,0,tarde
Si,0.0,0,tarde
Si,1.0,0,tarde
Si,0.0,0,noche
Si,0.0,0,noche
Si,10.0,0,noche
Si,6.0,0,noche
Si,19.0,1,noche
Si,2.0,0,noche
Si,9.0,0,noche
Si,2.0,0,noche
Si,12.0,0,noche
Si,3.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,2.0,0,noche
Si,0.0,0,noche
Si,7.0,0,noche
Si,8.0,0,noche
Si,3.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,19.0,1,noche
Si,4.0,0,noche
Si,10.0,0,noche
Si,0.0,0,noche
Si,15.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,6.0,0,noche
Si,14.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,10.0,0,noche
Si,2.0,0,noche
Si,9.0,0,noche
Si,0.0,0,noche
Si,0.0,0,noche
Si,13.0,0,noche
Si,17.0,1,noche
Si,29.0,1,noche
Si,0.0,0,noche
Si,10.0,0,noche
Si,14.0,0,noche
Si,2.0,0,tarde
Si,16.0,1,tarde
Si,2.0,0,tarde
Si,7.0,0,tarde
Si,10.0,0,tarde
Si,10.0,0,tarde
Si,13.0,0,tarde
Si,0.0,0,tarde
Si,13.0,0,tarde
Si,5.0,0,tarde
Si,5.0,0,tarde
Si,9.0,0,tarde
Si,10.0,0,tarde
Si,6.0,0,tarde
Si,17.0,1,noche
Si,15.0,0,tarde
Si,27.0,1,tarde
Si,9.0,0,tarde
Si,21.0,1,tarde
Si,15.0,0,tarde
Si,7.0,0,tarde
Si,9.0,0,tarde
Si,0.0,0,tarde
Si,18.0,1,tarde
Si,18.0,1,tarde
Si,1.0,0,tarde
Si,2.0,0,tarde
Si,3.0,0,tarde
Si,0.0,0,tarde
Si,13.0,0,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,60.0,1,noche
Si,17.0,1,noche
Si,12.0,0,noche
Si,19.0,1,noche
Si,44.0,1,noche
Si,15.0,0,noche
Si,15.0,0,noche
Si,8.0,0,noche
Si,1.0,0,noche
Si,46.0,1,mañana
Si,17.0,1,mañana
Si,14.0,0,mañana
Si,10.0,0,mañana
Si,25.0,1,mañana
Si,23.0,1,mañana
Si,0.0,0,mañana
Si,12.0,0,mañana
Si,18.0,1,mañana
Si,18.0,1,tarde
Si,5.0,0,mañana
Si,0.0,0,mañana
Si,38.0,1,mañana
Si,4.0,0,mañana
Si,5.0,0,mañana
Si,35.0,1,mañana
Si,14.0,0,tarde
Si,3.0,0,tarde
Si,3.0,0,tarde
Si,11.0,0,tarde
Si,15.0,0,tarde
Si,8.0,0,tarde
Si,13.0,0,tarde
Si,15.0,0,tarde
Si,10.0,0,tarde
Si,3.0,0,tarde
Si,1.0,0,tarde
Si,0.0,0,tarde
Si,14.0,0,tarde
Si,14.0,0,tarde
Si,9.0,0,tarde
Si,5.0,0,tarde
Si,6.0,0,tarde
Si,16.0,1,tarde
Si,4.0,0,tarde
Si,16.0,1,tarde
Si,13.0,0,tarde
Si,32.0,1,tarde
Si,0.0,0,tarde
Si,0.0,0,tarde
Si,3.0,0,tarde
